club,asset,wikimedia_file,direct_url,license,wikipedia_page
leeds-united,crest,File:Leeds United F.C. logo.svg,https://upload.wikimedia.org/wikipedia/en/5/54/Leeds_United_F.C._logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Leeds United F.C.
leeds-united,kit-away,File:Kit body leeds2627a.png,https://upload.wikimedia.org/wikipedia/commons/a/a1/Kit_body_leeds2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Leeds United F.C.
leeds-united,kit-home,File:Kit body leeds2627h.png,https://upload.wikimedia.org/wikipedia/commons/4/48/Kit_body_leeds2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Leeds United F.C.
leeds-united,kit-third,File:Kit body leeds2627t.png,https://upload.wikimedia.org/wikipedia/commons/0/06/Kit_body_leeds2627t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Leeds United F.C.
lens,crest,File:RC Lens logo.svg,https://upload.wikimedia.org/wikipedia/en/c/cc/RC_Lens_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),RC Lens
lens,kit-away,File:Kit body lens2627a.png,https://upload.wikimedia.org/wikipedia/commons/b/b2/Kit_body_lens2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,RC Lens
lens,kit-home,File:Kit body lens2627h.png,https://upload.wikimedia.org/wikipedia/commons/1/1d/Kit_body_lens2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,RC Lens
lens,kit-third,File:Kit body lens2627t.png,https://upload.wikimedia.org/wikipedia/commons/5/52/Kit_body_lens2627t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,RC Lens
levante,crest,"File:Levante Unión Deportiva, S.A.D. logo.svg",https://upload.wikimedia.org/wikipedia/en/7/7b/Levante_Uni%C3%B3n_Deportiva%2C_S.A.D._logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Levante UD
levante,kit-away,File:Kit body levante2627a.png,https://upload.wikimedia.org/wikipedia/commons/4/4e/Kit_body_levante2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Levante UD
levante,kit-home,File:Kit body levante2627h.png,https://upload.wikimedia.org/wikipedia/commons/5/59/Kit_body_levante2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Levante UD
lidl-trek,crest,File:Lidl–Trek logo.png,https://upload.wikimedia.org/wikipedia/commons/8/84/Lidl%E2%80%93Trek_logo.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,Lidl–Trek (men's team)
lille,crest,File:LilleOSC0212.svg,https://upload.wikimedia.org/wikipedia/en/4/4b/LilleOSC0212.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Lille OSC
lille,kit-away,File:Kit body lille2627a.png,https://upload.wikimedia.org/wikipedia/commons/e/ee/Kit_body_lille2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Lille OSC
lille,kit-home,File:Kit body lille2627h.png,https://upload.wikimedia.org/wikipedia/commons/4/45/Kit_body_lille2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Lille OSC
lille-osc,crest,File:Lille OSC 2018 logo.svg,https://upload.wikimedia.org/wikipedia/en/3/3f/Lille_OSC_2018_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Lille OSC
lille-osc,kit-away,File:Kit body lille2627a.png,https://upload.wikimedia.org/wikipedia/commons/e/ee/Kit_body_lille2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Lille OSC
lille-osc,kit-home,File:Kit body lille2627h.png,https://upload.wikimedia.org/wikipedia/commons/4/45/Kit_body_lille2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Lille OSC
liverpool,crest,File:Liverpool FC.svg,https://upload.wikimedia.org/wikipedia/en/0/0c/Liverpool_FC.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Liverpool F.C.
liverpool,kit-away,File:Kit body liverpool2627a.png,https://upload.wikimedia.org/wikipedia/commons/7/7d/Kit_body_liverpool2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Liverpool F.C.
liverpool,kit-home,File:Kit body liverpool2627h.png,https://upload.wikimedia.org/wikipedia/commons/9/9a/Kit_body_liverpool2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Liverpool F.C.
liverpool,kit-third,File:Kit body liverpool2627t.png,https://upload.wikimedia.org/wikipedia/commons/2/25/Kit_body_liverpool2627t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Liverpool F.C.
los-angeles-angels,crest,File:Los Angeles Angels of Anaheim.svg,https://upload.wikimedia.org/wikipedia/commons/8/8b/Los_Angeles_Angels_of_Anaheim.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,Los Angeles Angels
los-angeles-chargers,crest,File:Los Angeles Chargers logo.svg,https://upload.wikimedia.org/wikipedia/commons/a/a6/Los_Angeles_Chargers_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,Los Angeles Chargers
los-angeles-dodgers,crest,File:Los Angeles Dodgers Logo.svg,https://upload.wikimedia.org/wikipedia/commons/0/0e/Los_Angeles_Dodgers_Logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,Los Angeles Dodgers
los-angeles-fc,crest,File:Los Angeles Football Club.svg,https://upload.wikimedia.org/wikipedia/commons/8/86/Los_Angeles_Football_Club.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,Los Angeles FC
los-angeles-fc,kit-away,File:Kit body lafc25a.png,https://upload.wikimedia.org/wikipedia/commons/f/ff/Kit_body_lafc25a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Los Angeles FC
los-angeles-fc,kit-third,File:Kit body lafc24T.png,https://upload.wikimedia.org/wikipedia/commons/8/8a/Kit_body_lafc24T.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Los Angeles FC
los-angeles-lakers,crest,File:Los Angeles Lakers logo.svg,https://upload.wikimedia.org/wikipedia/commons/3/3c/Los_Angeles_Lakers_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,Los Angeles Lakers
los-angeles-lakers,kit-home,File:Kit body '18 Los Angeles Lakers association.png,https://upload.wikimedia.org/wikipedia/commons/1/1f/Kit_body_%2718_Los_Angeles_Lakers_association.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,Los Angeles Lakers
los-angeles-lakers,kit-third,File:Kit body '25 Los Angeles Lakers statement.png,https://upload.wikimedia.org/wikipedia/commons/b/b3/Kit_body_%2725_Los_Angeles_Lakers_statement.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,Los Angeles Lakers
lotto-intermarche,crest,File:Lotto–Intermarché logo.png,https://upload.wikimedia.org/wikipedia/en/8/8f/Lotto%E2%80%93Intermarch%C3%A9_logo.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Lotto–Intermarché
mainz-05,crest,File:1. FSV Mainz 05 logo.svg,https://upload.wikimedia.org/wikipedia/commons/1/1b/1._FSV_Mainz_05_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,1. FSV Mainz 05
mainz-05,kit-away,File:Kit body mainz2627a.png,https://upload.wikimedia.org/wikipedia/commons/2/2f/Kit_body_mainz2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,1. FSV Mainz 05
mainz-05,kit-home,File:Kit body mainz2627h.png,https://upload.wikimedia.org/wikipedia/commons/9/90/Kit_body_mainz2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,1. FSV Mainz 05
mainz-05,kit-third,File:Kit body mainz2627t.png,https://upload.wikimedia.org/wikipedia/commons/c/c3/Kit_body_mainz2627t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,1. FSV Mainz 05
malaga,crest,File:Kit shorts malaga2627a.png,https://upload.wikimedia.org/wikipedia/commons/e/e1/Kit_shorts_malaga2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Málaga CF
malaga,kit-away,File:Kit body malaga2627a.png,https://upload.wikimedia.org/wikipedia/commons/4/4c/Kit_body_malaga2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Málaga CF
malaga,kit-home,File:Kit body malaga2627h.png,https://upload.wikimedia.org/wikipedia/commons/5/57/Kit_body_malaga2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Málaga CF
malaga,kit-third,File:Kit body malaga2627t.png,https://upload.wikimedia.org/wikipedia/commons/c/c9/Kit_body_malaga2627t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Málaga CF
manchester-city,crest,File:Manchester City FC badge.svg,https://upload.wikimedia.org/wikipedia/en/e/eb/Manchester_City_FC_badge.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Manchester City F.C.
manchester-city,kit-away,File:Kit body mancity2627a.png,https://upload.wikimedia.org/wikipedia/commons/c/cd/Kit_body_mancity2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Manchester City F.C.
manchester-city,kit-home,File:Kit body mancity2627h.png,https://upload.wikimedia.org/wikipedia/commons/9/91/Kit_body_mancity2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Manchester City F.C.
manchester-city,kit-third,File:Kit body mancity2627t.png,https://upload.wikimedia.org/wikipedia/commons/2/23/Kit_body_mancity2627t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Manchester City F.C.
manchester-united,crest,File:Manchester United FC crest.svg,https://upload.wikimedia.org/wikipedia/en/7/7a/Manchester_United_FC_crest.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Manchester United F.C.
manchester-united,kit-away,File:Kit body manutd2627a.png,https://upload.wikimedia.org/wikipedia/commons/d/d2/Kit_body_manutd2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Manchester United F.C.
manchester-united,kit-home,File:Kit body manutd2627h.png,https://upload.wikimedia.org/wikipedia/commons/f/fe/Kit_body_manutd2627hA.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Manchester United F.C.
manchester-united,kit-third,File:Kit body manutd2627t.png,https://upload.wikimedia.org/wikipedia/commons/7/74/Kit_body_manutd2627t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Manchester United F.C.
mclaren,crest,File:Mastercard 2019 logo.svg,https://upload.wikimedia.org/wikipedia/commons/a/a4/Mastercard_2019_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: GFDL,Mastercard
memphis-grizzlies,crest,File:Memphis Grizzlies.svg,https://upload.wikimedia.org/wikipedia/en/f/f1/Memphis_Grizzlies.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Memphis Grizzlies
memphis-grizzlies,kit-home,File:Kit body memphisgrizzlies association.png,https://upload.wikimedia.org/wikipedia/commons/3/3c/Kit_body_memphisgrizzlies_association.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,Memphis Grizzlies
mercedes,crest,File:AMG logo.svg,https://upload.wikimedia.org/wikipedia/commons/c/c9/AMG_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,Mercedes-AMG
mexico,crest,File:Mexico national football team crest.svg,https://upload.wikimedia.org/wikipedia/en/3/3f/Mexico_national_football_team_crest.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Mexico
miami-dolphins,crest,File:Miami Dolphins logo.svg,https://upload.wikimedia.org/wikipedia/en/3/37/Miami_Dolphins_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Miami Dolphins
miami-heat,crest,File:Miami Heat logo.svg,https://upload.wikimedia.org/wikipedia/en/f/fb/Miami_Heat_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Miami Heat
miami-heat,kit-home,File:Kit body miamiheat association.png,https://upload.wikimedia.org/wikipedia/commons/f/fe/Kit_body_miamiheat_association.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,Miami Heat
miami-heat,kit-third,File:Kit body miamiheat statement.png,https://upload.wikimedia.org/wikipedia/commons/b/b6/Kit_body_miamiheat_statement.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,Miami Heat
miami-marlins,crest,File:Marlins team logo.svg,https://upload.wikimedia.org/wikipedia/en/f/fd/Marlins_team_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Miami Marlins
milwaukee-brewers,crest,File:Milwaukee Brewers logo.svg,https://upload.wikimedia.org/wikipedia/en/b/b8/Milwaukee_Brewers_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Milwaukee Brewers
milwaukee-bucks,crest,File:Milwaukee Bucks logo.svg,https://upload.wikimedia.org/wikipedia/en/4/4a/Milwaukee_Bucks_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Milwaukee Bucks
milwaukee-bucks,kit-home,File:Kit body milwaukeebucks90s road.png,https://upload.wikimedia.org/wikipedia/commons/f/f8/Kit_body_milwaukeebucks90s_road.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,Milwaukee Bucks
minnesota-timberwolves,crest,File:Minnesota Timberwolves logo.svg,https://upload.wikimedia.org/wikipedia/en/c/c2/Minnesota_Timberwolves_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Minnesota Timberwolves
minnesota-timberwolves,kit-home,File:Kit body '26 Minnesota Timberwolves association.png,https://upload.wikimedia.org/wikipedia/commons/0/01/Kit_body_%2726_Minnesota_Timberwolves_association.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Minnesota Timberwolves
minnesota-timberwolves,kit-third,File:Kit body '26 Minnesota Timberwolves statement.png,https://upload.wikimedia.org/wikipedia/commons/5/51/Kit_body_%2726_Minnesota_Timberwolves_statement.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Minnesota Timberwolves
minnesota-twins,crest,File:Minnesota Twins New Logo.svg,https://upload.wikimedia.org/wikipedia/commons/1/17/Minnesota_Twins_New_Logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,Minnesota Twins
minnesota-united,crest,File:Minnesota United FC (MLS) Primary logo.svg,https://upload.wikimedia.org/wikipedia/en/e/e8/Minnesota_United_FC_%28MLS%29_Primary_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Minnesota United FC
minnesota-united,kit-away,File:Kit body minnesota25a.png,https://upload.wikimedia.org/wikipedia/commons/b/b6/Kit_body_minnesota25a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Minnesota United FC
minnesota-united,kit-third,File:Kit body minnesota25t.png,https://upload.wikimedia.org/wikipedia/commons/9/9f/Kit_body_minnesota25t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Minnesota United FC
minnesota-vikings,crest,File:Minnesota Vikings logo.svg,https://upload.wikimedia.org/wikipedia/en/4/48/Minnesota_Vikings_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Minnesota Vikings
monza,crest,File:AC Monza logo (2021).svg,https://upload.wikimedia.org/wikipedia/en/a/a7/AC_Monza_logo_%282021%29.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),AC Monza
monza,kit-away,File:Kit body monza2627a.png,https://upload.wikimedia.org/wikipedia/commons/a/a7/Kit_body_monza2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,AC Monza
monza,kit-home,File:Kit body monza2627h.png,https://upload.wikimedia.org/wikipedia/commons/2/20/Kit_body_monza2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,AC Monza
monza,kit-third,File:Kit body monza2627t.png,https://upload.wikimedia.org/wikipedia/commons/c/c5/Kit_body_monza2627t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,AC Monza
morocco,crest,File:Moroccan Air Force emblem.svg,https://upload.wikimedia.org/wikipedia/en/4/49/Moroccan_Air_Force_emblem.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Morocco
movistar,crest,File:Movistar Team logo.svg,https://upload.wikimedia.org/wikipedia/commons/a/a6/Movistar_Team_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,Movistar Team
napoli,crest,File:SSC Napoli 2025 (white and azure).svg,https://upload.wikimedia.org/wikipedia/commons/4/4d/SSC_Napoli_2025_%28white_and_azure%29.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,SSC Napoli
napoli,kit-away,File:Kit body Napoli2627a.png,https://upload.wikimedia.org/wikipedia/commons/9/91/Kit_body_Napoli2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,SSC Napoli
napoli,kit-home,File:Kit body Napoli2627h.png,https://upload.wikimedia.org/wikipedia/commons/0/01/Kit_body_Napoli2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,SSC Napoli
napoli,kit-third,File:Kit body Napoli2627t.png,https://upload.wikimedia.org/wikipedia/commons/7/73/Kit_body_Napoli2627t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,SSC Napoli
nashville-sc,crest,"File:Nashville SC logo, 2020.svg",https://upload.wikimedia.org/wikipedia/commons/b/bc/Nashville_SC_logo%2C_2020.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,Nashville SC
nashville-sc,kit-away,File:Kit body nashville25a.png,https://upload.wikimedia.org/wikipedia/commons/4/41/Kit_body_nashville25a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Nashville SC
nashville-sc,kit-third,File:Kit body nashville25t.png,https://upload.wikimedia.org/wikipedia/commons/f/fe/Kit_body_nashville25t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Nashville SC
neom,crest,File:Neom SC Logo.png,https://upload.wikimedia.org/wikipedia/en/4/4a/Neom_SC_Logo.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Neom SC
netherlands,crest,File:Netherlands Coast Guard emblem.svg,https://upload.wikimedia.org/wikipedia/en/e/e9/Netherlands_Coast_Guard_emblem.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Netherlands
new-england-patriots,crest,File:New England Patriots logo.svg,https://upload.wikimedia.org/wikipedia/en/b/b9/New_England_Patriots_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),New England Patriots
new-england-revolution,crest,File:Logo of New England Revolution (2021).svg,https://upload.wikimedia.org/wikipedia/commons/8/8a/Logo_of_New_England_Revolution_%282021%29.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,New England Revolution
new-england-revolution,kit-home,File:Kit body MUNDIAL WHITE.png,https://upload.wikimedia.org/wikipedia/commons/e/e6/Kit_body_MUNDIAL_WHITE.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,New England Revolution
new-orleans-pelicans,crest,File:New Orleans Pelicans logo.svg,https://upload.wikimedia.org/wikipedia/en/0/0d/New_Orleans_Pelicans_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),New Orleans Pelicans
new-orleans-pelicans,kit-home,File:Kit body neworleanspelicans association.png,https://upload.wikimedia.org/wikipedia/commons/c/c6/Kit_body_neworleanspelicans_association.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,New Orleans Pelicans
new-orleans-saints,crest,File:New Orleans Saints logo.svg,https://upload.wikimedia.org/wikipedia/commons/5/50/New_Orleans_Saints_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,New Orleans Saints
new-york-city-fc,crest,File:Logo New York City FC 2025.svg,https://upload.wikimedia.org/wikipedia/commons/e/eb/Logo_New_York_City_FC_2025.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,New York City FC
new-york-city-fc,kit-away,File:Kit body nycfc26aA.png,https://upload.wikimedia.org/wikipedia/commons/5/5c/Kit_body_nycfc26aA.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,New York City FC
new-york-city-fc,kit-home,File:Kit body nycfc25h.png,https://upload.wikimedia.org/wikipedia/commons/a/ae/Kit_body_nycfc25h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,New York City FC
new-york-giants,crest,File:New York Giants logo.svg,https://upload.wikimedia.org/wikipedia/commons/6/60/New_York_Giants_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Non-free (fair use),New York Giants
new-york-jets,crest,File:New York Jets 2024.svg,https://upload.wikimedia.org/wikipedia/commons/6/69/New_York_Jets_2024.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,New York Jets
new-york-knicks,crest,File:New York Knicks logo.svg,https://upload.wikimedia.org/wikipedia/en/2/25/New_York_Knicks_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),New York Knicks
new-york-knicks,kit-home,File:Kit body '17 New York Knicks association.png,https://upload.wikimedia.org/wikipedia/commons/5/55/Kit_body_%2717_New_York_Knicks_association.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,New York Knicks
new-york-knicks,kit-third,File:Kit body '25 New York Knicks statement.png,https://upload.wikimedia.org/wikipedia/commons/5/5e/Kit_body_%2725_New_York_Knicks_statement.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,New York Knicks
new-york-mets,crest,File:New York Mets.svg,https://upload.wikimedia.org/wikipedia/en/7/7b/New_York_Mets.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),New York Mets
new-york-red-bulls,crest,File:New York Red Bulls logo.svg,https://upload.wikimedia.org/wikipedia/en/5/51/New_York_Red_Bulls_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),New York Red Bulls
new-york-red-bulls,kit-away,File:Kit body nyrb26hA.png,https://upload.wikimedia.org/wikipedia/commons/c/c2/Kit_body_nyrb26hA.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,New York Red Bulls
new-york-red-bulls,kit-home,File:Kit body nyrb25a2.png,https://upload.wikimedia.org/wikipedia/commons/d/d1/Kit_body_nyrb25a2.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,New York Red Bulls
new-york-red-bulls,kit-third,File:Kit body nyrb23t.png,https://upload.wikimedia.org/wikipedia/commons/3/3e/Kit_body_nyrb23t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,New York Red Bulls
new-york-yankees,crest,File:New York Yankees Primary Logo.svg,https://upload.wikimedia.org/wikipedia/commons/f/fe/New_York_Yankees_Primary_Logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,New York Yankees
new-zealand,crest,File:New Zealand Army Logo.png,https://upload.wikimedia.org/wikipedia/commons/a/a3/New_Zealand_Army_Logo.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,New Zealand
newcastle-united,crest,File:Newcastle United Logo.svg,https://upload.wikimedia.org/wikipedia/en/5/56/Newcastle_United_Logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Newcastle United F.C.
newcastle-united,kit-away,File:Kit body newcastle2627a.png,https://upload.wikimedia.org/wikipedia/commons/0/02/Kit_body_newcastle2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Newcastle United F.C.
newcastle-united,kit-home,File:Kit body newcastle2627h.png,https://upload.wikimedia.org/wikipedia/commons/1/1f/Kit_body_newcastle2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Newcastle United F.C.
newcastle-united,kit-third,File:Kit body newcastle2627t.png,https://upload.wikimedia.org/wikipedia/commons/a/a3/Kit_body_newcastle2627t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Newcastle United F.C.
norway,crest,File:Norway national football team logo.svg,https://upload.wikimedia.org/wikipedia/en/6/6c/Norway_national_football_team_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Norway
nottingham-forest,crest,File:Nottingham Forest F.C. logo.svg,https://upload.wikimedia.org/wikipedia/en/e/e5/Nottingham_Forest_F.C._logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Nottingham Forest F.C.
nottingham-forest,kit-away,File:Kit body nottingham2627a.png,https://upload.wikimedia.org/wikipedia/commons/8/80/Kit_body_nottingham2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Nottingham Forest F.C.
nottingham-forest,kit-home,File:Kit body nottingham2627h.png,https://upload.wikimedia.org/wikipedia/commons/0/05/Kit_body_nottingham2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Nottingham Forest F.C.
